Sample size,Original Formula,Learned Formula,Size Bound,Sample,Encoding Time,Solving Time,Total Time,Solver,Learned Formula Size,Verification
200,(AG (EF q)),(AG (EF q)),15,test_suite/random_4/Kripke/f:06-nw:100.sp,254.71,1.77,256.48,msat,3,True
20,(AG (p -> (AF q))),(AG (p -> (AF q))),15,test_suite/random_4/Kripke/f:05-nw:010.sp,9.98,3.52,13.5,msat,5,True
20,(AG (p | (AX q))),(AG (p | (AX q))),15,test_suite/random_4/Kripke/f:04-nw:010.sp,10.48,3.23,13.71,msat,5,True
200,(AG (p | (AX q))),(AG (p | (AX q))),15,test_suite/random_4/Kripke/f:04-nw:100.sp,874.07,29.96,904.03,msat,5,True
20,(AG (EF q)),(AG (EF q)),15,test_suite/random_4/Kripke/f:06-nw:010.sp,3.45,0.15,3.59,msat,3,True
200,(AG (p -> (AF q))),(AG (p -> (AF q))),15,test_suite/random_4/Kripke/f:05-nw:100.sp,1178.91,16.05,1194.96,msat,5,True
200,((AG (AF p)) & (AG (AF q))),,15,test_suite/random_4/Kripke/f:03-nw:100.sp,0,0,0,msat,,
200,(AG (AF p)),(AG (AF p)),15,test_suite/random_4/Kripke/f:02-nw:100.sp,271.7,1.92,273.61,msat,3,True
20,(AG (p | q)),(AG (q | p)),15,test_suite/random_4/Kripke/f:01-nw:010.sp,4.86,0.38,5.23,msat,4,True
20,(AG (AF p)),(AG (AF p)),15,test_suite/random_4/Kripke/f:02-nw:010.sp,4.03,0.2,4.23,msat,3,True
200,(AG (p | q)),(AG (q | p)),15,test_suite/random_4/Kripke/f:01-nw:100.sp,435.38,5.1,440.48,msat,4,True
20,((AG (AF p)) & (AG (AF q))),(AG (A((EF p) U q))),15,test_suite/random_4/Kripke/f:03-nw:010.sp,12.97,4.12,17.08,msat,5,True
150,((AG (AF p)) & (AG (AF q))),(AG ((AF p) & (AF q))),15,test_suite/random_4/Kripke/f:03-nw:075.sp,1143.92,112.96,1256.87,msat,6,True
50,(AG (p -> (AF q))),(AG (p -> (AF q))),15,test_suite/random_4/Kripke/f:05-nw:025.sp,72.39,3.1,75.49,msat,5,True
100,(AG (p | (AX q))),(AG (p | (AX q))),15,test_suite/random_4/Kripke/f:04-nw:050.sp,213.2,8.96,222.16,msat,5,True
50,(AG (p | (AX q))),(AG ((AX q) | p)),15,test_suite/random_4/Kripke/f:04-nw:025.sp,53.01,5.4,58.41,msat,5,True
150,(AG (AF p)),(AG (AF p)),15,test_suite/random_4/Kripke/f:02-nw:075.sp,156.25,1.29,157.54,msat,3,True
100,(AG (p -> (AF q))),(AG (p -> (AF q))),15,test_suite/random_4/Kripke/f:05-nw:050.sp,319.0,13.23,332.23,msat,5,True
100,(AG (EF q)),(AG (EF q)),15,test_suite/random_4/Kripke/f:06-nw:050.sp,66.29,0.92,67.21,msat,3,True
150,(AG (p | q)),(AG (p | q)),15,test_suite/random_4/Kripke/f:01-nw:075.sp,261.94,2.5,264.43,msat,4,True
50,(AG (EF q)),(AG (EF q)),15,test_suite/random_4/Kripke/f:06-nw:025.sp,19.31,0.43,19.75,msat,3,True
150,(AG (EF q)),(AG (EF q)),15,test_suite/random_4/Kripke/f:06-nw:075.sp,139.33,1.23,140.56,msat,3,True
100,(AG (p | q)),(AG (q | p)),15,test_suite/random_4/Kripke/f:01-nw:050.sp,117.76,3.02,120.78,msat,4,True
50,(AG (p | q)),(AG (q | p)),15,test_suite/random_4/Kripke/f:01-nw:025.sp,33.91,1.7,35.6,msat,4,True
100,((AG (AF p)) & (AG (AF q))),((AF p) & (AG (A((AF p) U q)))),15,test_suite/random_4/Kripke/f:03-nw:050.sp,486.79,51.52,538.31,msat,6,True
150,(AG (p | (AX q))),(AG (p | (AX q))),15,test_suite/random_4/Kripke/f:04-nw:075.sp,484.21,22.79,507.01,msat,5,True
50,(AG (AF p)),(AG (AF p)),15,test_suite/random_4/Kripke/f:02-nw:025.sp,18.7,0.45,19.15,msat,3,True
100,(AG (AF p)),(AG (AF p)),15,test_suite/random_4/Kripke/f:02-nw:050.sp,74.17,1.17,75.34,msat,3,True
50,((AG (AF p)) & (AG (AF q))),(AG ((AF q) & (E((AF q) U p)))),15,test_suite/random_4/Kripke/f:03-nw:025.sp,125.87,55.24,181.11,msat,6,True
150,(AG (p -> (AF q))),(AG (p -> (AF q))),15,test_suite/random_4/Kripke/f:05-nw:075.sp,709.4,30.77,740.17,msat,5,True
