Sample size,Solver,Propositions,Players,Size Bound,Encoding Time,Total Time,Verification,Model Type,Sample,Solving Time,Learned Formula,Learned Formula Size,Original Formula,Formula Type
30,msat,2,2,15,16.9,17.43,True,cgs,test_suite/large_cgs/CGS/f:02-nm:015-sm:018.sp,0.53,<0>F(p),2,<0>F(p),atl
60,msat,2,2,15,535.85,556.2,True,cgs,test_suite/large_cgs/CGS/f:04-nm:030-sm:018.sp,20.35,<>G((p -> <1>G(p))),4,<>G((p -> <1>G(p))),atl
50,msat,2,2,15,1.24,1.27,True,cgs,test_suite/large_cgs/CGS/f:01-nm:025-sm:003.sp,0.03,<1>X(p),2,<1>X(p),atl
60,msat,2,2,15,1.59,1.62,True,cgs,test_suite/large_cgs/CGS/f:01-nm:030-sm:003.sp,0.04,<1>X(p),2,<1>X(p),atl
30,msat,3,2,15,1.42,1.48,True,cgs,test_suite/large_cgs/CGS/f:07-nm:015-sm:003.sp,0.05,(! <1>F(p)),3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
50,msat,2,2,15,366.59,408.29,True,cgs,test_suite/large_cgs/CGS/f:04-nm:025-sm:018.sp,41.7,<>G((p -> <1>G(p))),4,<>G((p -> <1>G(p))),atl
40,msat,2,2,15,88.68,105.86,True,cgs,test_suite/large_cgs/CGS/f:05-nm:020-sm:008.sp,17.18,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
10,msat,2,2,15,6.53,9.06,True,cgs,test_suite/large_cgs/CGS/f:03-nm:005-sm:008.sp,2.52,<>G((<1>X(p) -> <1>X(<1>X(p)))),5,<>G(((p & (! q)) -> <1>G(p))),atl
20,msat,2,2,15,61.51,123.84,True,cgs,test_suite/large_cgs/CGS/f:06-nm:010-sm:013.sp,62.33,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
40,msat,2,2,15,48.49,49.72,True,cgs,test_suite/large_cgs/CGS/f:01-nm:020-sm:023.sp,1.23,<1>X(p),2,<1>X(p),atl
6,msat,3,2,15,5.66,6.12,True,cgs,test_suite/large_cgs/CGS/f:07-nm:005-sm:023.sp,0.45,(! <1>F(p)),3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
40,msat,2,2,15,172.79,177.62,True,cgs,test_suite/large_cgs/CGS/f:05-nm:020-sm:023.sp,4.83,"<>G(<0,1>F(q))",3,"<>G((p -> <0,1>F(q)))",atl
10,msat,2,2,15,55.72,147.68,True,cgs,test_suite/large_cgs/CGS/f:03-nm:005-sm:023.sp,91.97,"<>F((<1>X(<0,1>X(p)) -> p))",5,<>G(((p & (! q)) -> <1>G(p))),atl
20,msat,2,2,15,3.77,3.94,True,cgs,test_suite/large_cgs/CGS/f:02-nm:010-sm:013.sp,0.17,<0>F(p),2,<0>F(p),atl
40,msat,2,2,15,5.38,5.5,True,cgs,test_suite/large_cgs/CGS/f:01-nm:020-sm:008.sp,0.12,<1>X(p),2,<1>X(p),atl
10,msat,3,2,15,1.29,1.39,True,cgs,test_suite/large_cgs/CGS/f:07-nm:005-sm:008.sp,0.1,<>G((! p)),3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
60,msat,2,2,15,23.09,23.77,True,cgs,test_suite/large_cgs/CGS/f:05-nm:030-sm:003.sp,0.68,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
30,msat,2,2,15,13.09,21.77,True,cgs,test_suite/large_cgs/CGS/f:03-nm:015-sm:003.sp,8.68,<>G((q | (p -> <1>G(p)))),6,<>G(((p & (! q)) -> <1>G(p))),atl
