Size Bound,Solving Time,Total Time,Formula Type,Solver,Original Formula,Sample,Learned Formula,Model Type,Sample size,Verification,Encoding Time,Learned Formula Size
15,17.31,399.96,ctl,msat,(AG(AF(p)))&(AG(AF(q))),test_suite/mod_large_random/Kripke/f:07-nm:030-sm:025.sp,AG(AF(p)),kripke,60,True,382.65,3
15,0,0,ctl,msat,(AG(AF(p)))&(AG(AF(q))),test_suite/mod_large_random/Kripke/f:07-nm:060-sm:035.sp,,kripke,120,,0,
15,49.69,125.8,ctl,msat,(AG(AF(p)))&(AG(AF(q))),test_suite/mod_large_random/Kripke/f:07-nm:020-sm:005.sp,AG(A(AF(p)) U ((q)&(AF(p)))),kripke,40,True,76.1,6
15,60.47,2280.74,ctl,msat,AG(AF(p)),test_suite/mod_large_random/Kripke/f:01-nm:050-sm:035.sp,AG(AF(p)),kripke,100,True,2220.26,3
15,0.07,1.7,ctl,msat,AG(AF(p)),test_suite/mod_large_random/Kripke/f:01-nm:010-sm:005.sp,AG(AF(p)),kripke,20,True,1.63,3
15,11.71,346.41,ctl,msat,AG((p)|(AX(!(q)))),test_suite/mod_large_random/Kripke/f:06-nm:060-sm:005.sp,AG((EX(q))->(p)),kripke,120,True,334.7,5
15,0,0,ctl,msat,AG((p)|(AX(!(q)))),test_suite/mod_large_random/Kripke/f:06-nm:020-sm:035.sp,,kripke,40,,0,
15,245.32,814.31,ctl,msat,AG((p)|(AX(!(q)))),test_suite/mod_large_random/Kripke/f:06-nm:030-sm:015.sp,AG((EX(q))->(p)),kripke,60,True,568.99,5
15,6.72,253.28,ctl,msat,AG(AF(p)),test_suite/mod_large_random/Kripke/f:01-nm:040-sm:015.sp,AG(AF(p)),kripke,80,True,246.56,3
15,162.7,1414.65,ctl,msat,AG((!(p))|(!(q))),test_suite/mod_large_random/Kripke/f:05-nm:040-sm:015.sp,AG((p)->(!(q))),kripke,80,True,1251.95,5
15,3.41,145.71,ctl,msat,AG(EF(q)),test_suite/mod_large_random/Kripke/f:02-nm:030-sm:015.sp,AG(EF(q)),kripke,60,True,142.3,3
15,16.48,414.07,ctl,msat,AG(EF(q)),test_suite/mod_large_random/Kripke/f:02-nm:020-sm:035.sp,AG(EF(q)),kripke,40,True,397.6,3
15,1.03,95.53,ctl,msat,AG(EF(q)),test_suite/mod_large_random/Kripke/f:02-nm:060-sm:005.sp,AG(EF(q)),kripke,120,True,94.5,3
15,1.75,17.09,ctl,msat,AG((!(p))|(!(q))),test_suite/mod_large_random/Kripke/f:05-nm:010-sm:005.sp,AG((q)->(!(p))),kripke,20,True,15.34,5
15,0,0,ctl,msat,AG((!(p))|(!(q))),test_suite/mod_large_random/Kripke/f:05-nm:050-sm:035.sp,,kripke,100,,0,
