Solving Time,Sample,Size Bound,Sample size,Total Time,Encoding Time,Verification,Model Type,Learned Formula,Learned Formula Size,Formula Type,Original Formula,Solver
0,test_suite/large_random/Kripke/f:02-nw:075-sm:025.sp,15,150,0,0,,kripke,,,ctl,AG(EF(q)),msat
129.56,test_suite/large_random/Kripke/f:04-nw:050-sm:025.sp,15,100,2687.1,2557.55,True,kripke,AG((q)|(p)),4,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:06-nm:100-sm:015.sp,15,200,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
36.23,test_suite/large_random/Kripke/f:02-nw:025-sm:035.sp,15,50,631.4,595.17,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
0,test_suite/large_random/Kripke/f:02-nw:050-sm:045.sp,15,100,0,0,,kripke,,,ctl,AG(EF(q)),msat
0,test_suite/large_random/Kripke/f:04-nw:075-sm:045.sp,15,150,0,0,,kripke,,,ctl,AG((p)|(q)),msat
0,test_suite/large_random/Kripke/f:01-nm:100-sm:045.sp,15,200,0,0,,kripke,,,ctl,AG(AF(p)),msat
0,test_suite/large_random/Kripke/f:07-nm:100-sm:025.sp,15,200,0,0,,kripke,,,ctl,(AG(AF(p)))&(AG(AF(q))),msat
199.92,test_suite/large_random/Kripke/f:05-nw:050-sm:015.sp,15,100,1705.52,1505.6,True,kripke,AG((p)->(!(q))),5,ctl,AG((!(p))|(!(q))),msat
0,test_suite/large_random/Kripke/f:03-nw:075-sm:015.sp,15,150,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
7.42,test_suite/large_random/Kripke/f:07-nw:012-sm:035.sp,15,25,156.9,149.48,True,kripke,AX(AF(q)),3,ctl,(AG(AF(p)))&(AG(AF(q))),msat
6.64,test_suite/large_random/Kripke/f:01-nw:050-sm:015.sp,15,100,367.07,360.44,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
0,test_suite/large_random/Kripke/f:07-nw:075-sm:015.sp,15,150,0,0,,kripke,,,ctl,(AG(AF(p)))&(AG(AF(q))),msat
748.95,test_suite/large_random/Kripke/f:03-nw:012-sm:035.sp,15,25,1414.23,665.27,True,kripke,AG((p)->(AF(q))),5,ctl,AG((p)->(AF(q))),msat
0,test_suite/large_random/Kripke/f:03-nm:100-sm:025.sp,15,200,0,0,,kripke,,,ctl,AG((p)->(AF(q))),msat
0,test_suite/large_random/Kripke/f:05-nm:100-sm:045.sp,15,200,0,0,,kripke,,,ctl,AG((!(p))|(!(q))),msat
0,test_suite/large_random/Kripke/f:06-nw:050-sm:045.sp,15,100,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
0,test_suite/large_random/Kripke/f:06-nw:025-sm:035.sp,15,50,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
10.23,test_suite/large_random/Kripke/f:02-nm:100-sm:015.sp,15,200,1643.61,1633.39,True,kripke,AG(EF(q)),3,ctl,AG(EF(q)),msat
0,test_suite/large_random/Kripke/f:06-nw:075-sm:025.sp,15,150,0,0,,kripke,,,ctl,AG((p)|(AX(!(q)))),msat
3.73,test_suite/large_random/Kripke/f:01-nw:025-sm:015.sp,15,50,97.98,94.25,True,kripke,AG(AF(p)),3,ctl,AG(AF(p)),msat
