Size Bound,Players,Total Time,Propositions,Solver,Encoding Time,Verification,Learned Formula Size,Solving Time,Original Formula,Sample,Sample size,Learned Formula,Formula Type,Model Type
20,2,16.77,3,msat,15.29,True,3,1.49,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:010-sm:023.sp,11,<>G((! p)),atl,cgs
20,2,25.5,2,msat,17.96,True,5,7.53,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:005-sm:013.sp,10,<0>G(<>X((! <>X(p)))),atl,cgs
20,2,95.69,2,msat,41.06,True,6,54.63,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:010-sm:008.sp,20,<>G((p -> (q | <1>G(p)))),atl,cgs
20,2,17.31,2,msat,16.78,True,2,0.53,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:015-sm:018.sp,30,<0>F(p),atl,cgs
20,2,550.78,2,msat,530.32,True,4,20.46,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:030-sm:018.sp,60,<>G((p -> <1>G(p))),atl,cgs
20,2,1.27,2,msat,1.24,True,2,0.03,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:025-sm:003.sp,50,<1>X(p),atl,cgs
20,2,1.58,2,msat,1.54,True,2,0.03,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:030-sm:003.sp,60,<1>X(p),atl,cgs
20,2,1.56,3,msat,1.51,True,3,0.05,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:015-sm:003.sp,30,(! <1>F(p)),atl,cgs
20,2,405.43,2,msat,364.06,True,4,41.38,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:025-sm:018.sp,50,<>G((p -> <1>G(p))),atl,cgs
20,2,103.55,2,msat,88.02,True,5,15.53,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:020-sm:008.sp,40,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,8.9,2,msat,6.37,True,5,2.53,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:005-sm:008.sp,10,<>G((<1>X(p) -> <1>X(<1>X(p)))),atl,cgs
20,2,92.25,2,msat,61.31,True,5,30.93,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:010-sm:013.sp,20,<>G((p -> <1>X(q))),atl,cgs
20,2,49.04,2,msat,47.84,True,2,1.2,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:020-sm:023.sp,40,<1>X(p),atl,cgs
20,2,6.05,3,msat,5.58,True,3,0.48,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:005-sm:023.sp,6,(! <1>F(p)),atl,cgs
20,2,176.77,2,msat,172.05,True,3,4.71,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:020-sm:023.sp,40,"<>G(<0,1>F(q))",atl,cgs
20,2,142.91,2,msat,54.88,True,5,88.02,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:005-sm:023.sp,10,"<>F((<1>X(<0,1>X(p)) -> p))",atl,cgs
20,2,3.95,2,msat,3.78,True,2,0.17,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:010-sm:013.sp,20,<0>F(p),atl,cgs
20,2,5.59,2,msat,5.43,True,2,0.15,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:020-sm:008.sp,40,<1>X(p),atl,cgs
20,2,1.42,3,msat,1.32,True,3,0.1,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:005-sm:008.sp,10,"(! <0,1>F(p))",atl,cgs
20,2,23.45,2,msat,22.76,True,5,0.69,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:030-sm:003.sp,60,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,21.48,2,msat,13.02,True,6,8.46,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:015-sm:003.sp,30,<>G((q | (p -> <1>G(p)))),atl,cgs
20,2,18.1,2,msat,17.51,True,5,0.59,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:025-sm:003.sp,50,"<>G((p -> <0,1>F(q)))",atl,cgs
