Sample,Original Formula,Propositions,Solving Time,Encoding Time,Total Time,Learned Formula Size,Sample size,Solver,Learned Formula,Verification,Size Bound,Formula Type,Players,Positive,Negative,Size Lower,Size Upper,Verification,Total_Time_TB,Encoding_Time_TB,Learned Formula Size_TB,Solving Time_TB,Learned Formula_TB
test_suite/large_cgs/CGS/f:01-nm:005-sm:003.sp,<1>X(p),2,0.01,0.14,0.15,2,10,msat,<1>X(p),TRUE,20,atl,2,5,5,1,5,TRUE,0.14,0.13,2,0.01,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:010-sm:003.sp,<1>X(p),2,0.01,0.53,0.54,2,20,msat,<1>X(p),TRUE,20,atl,2,10,10,1,5,TRUE,0.31,0.29,2,0.01,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:015-sm:003.sp,<1>X(p),2,0.02,1.07,1.09,2,30,msat,<1>X(p),TRUE,20,atl,2,15,15,1,5,TRUE,0.57,0.55,2,0.02,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:020-sm:003.sp,<1>X(p),2,0.02,1.54,1.57,2,40,msat,<1>X(p),TRUE,20,atl,2,20,20,1,5,TRUE,1.01,0.98,2,0.03,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:025-sm:003.sp,<1>X(p),2,0.03,2.16,2.19,2,50,msat,<1>X(p),TRUE,20,atl,2,25,25,1,5,TRUE,1.27,1.24,2,0.03,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:030-sm:003.sp,<1>X(p),2,0.03,2.83,2.86,2,60,msat,<1>X(p),TRUE,20,atl,2,30,30,1,5,TRUE,1.58,1.54,2,0.03,<1>X(p)
test_suite/large_cgs/CGS/f:02-nm:005-sm:003.sp,<0>F(p),2,0.01,0.17,0.18,2,10,msat,<0>F(p),TRUE,20,atl,2,5,5,1,5,TRUE,0.14,0.14,2,0.01,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:010-sm:003.sp,<0>F(p),2,0.01,0.59,0.6,2,20,msat,<0>F(p),TRUE,20,atl,2,10,10,1,5,TRUE,0.3,0.29,2,0.01,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:015-sm:003.sp,<0>F(p),2,0.02,0.82,0.84,2,30,msat,<0>F(p),TRUE,20,atl,2,15,15,1,5,TRUE,0.52,0.5,2,0.02,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:020-sm:003.sp,<0>F(p),2,0.02,1.41,1.43,2,40,msat,<0>F(p),TRUE,20,atl,2,20,20,1,5,TRUE,0.85,0.83,2,0.02,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:025-sm:003.sp,<0>F(p),2,0.03,2.2,2.22,2,50,msat,<0>F(p),TRUE,20,atl,2,25,25,1,5,TRUE,1.3,1.27,2,0.03,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:030-sm:003.sp,<0>F(p),2,0.03,3.01,3.04,2,60,msat,<0>F(p),TRUE,20,atl,2,30,30,1,5,TRUE,1.71,1.68,2,0.04,<0>F(p)
test_suite/large_cgs/CGS/f:03-nm:005-sm:003.sp,<>G(((p & (! q)) -> <1>G(p))),2,0.04,0.73,0.77,4,10,msat,(<0>F(p) -> <0>G(p)),TRUE,20,atl,2,5,5,1,5,TRUE,0.52,0.47,4,0.05,(<0>F(p) -> <>G(p))
test_suite/large_cgs/CGS/f:03-nm:010-sm:003.sp,<>G(((p & (! q)) -> <1>G(p))),2,1.48,8.51,9.99,6,20,msat,<>G(<0>(q U (p -> <1>G(p)))),TRUE,20,atl,2,10,10,1,5,TRUE,7.05,5.48,6,1.57,<1>G((<>X(p) | (p -> q)))
