Sample,Sample size,Original Formula,Solving_Time_WU,Encoding_Time_WU,Total_Time_WU,Learned_Formula_WU,Learned_Formula_Size,Solving_Time_U,Encoding_Time_U,Total_Time_U,Learned_Formula_U,Learned_Formula_Size_U,Positive,Negative,Size Lower,Size Upper,Verification
test_suite/mod_large_random/Kripke/f:01-nm:010-sm:005.sp,20,AG(AF(p)),0.05,0.89,0.94,AX(AF(p)),3,0.07,1.63,1.7,AG(AF(p)),3,10,10,1,10,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:010-sm:015.sp,20,AG(AF(p)),0.72,9.48,10.2,AG(AF(p)),3,1.11,18.15,19.26,AG(AF(p)),3,10,10,11,20,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:010-sm:025.sp,20,AG(AF(p)),2.27,27.98,30.26,AX(AF(p)),3,4.46,54.1,58.57,AG(AF(p)),3,10,10,21,30,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:010-sm:035.sp,20,AG(AF(p)),6.45,52.86,59.31,AG(AF(p)),3,11.96,101.1,113.06,AG(AF(p)),3,10,10,31,40,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:020-sm:005.sp,40,AG(AF(p)),0.14,3.79,3.93,AG(AF(p)),3,0.19,7.36,7.55,AX(AF(p)),3,20,20,1,10,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:020-sm:015.sp,40,AG(AF(p)),1.73,34.15,35.89,AG(AF(p)),3,3.29,67.76,71.04,AG(AF(p)),3,20,20,11,20,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:020-sm:025.sp,40,AG(AF(p)),5.82,98.34,104.15,AG(AF(p)),3,7.44,188.1,195.55,AG(AF(p)),3,20,20,21,30,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:020-sm:035.sp,40,AG(AF(p)),11.97,187.19,199.16,AG(AF(p)),3,14.38,372.61,386.98,AG(AF(p)),3,20,20,31,40,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:030-sm:005.sp,60,AG(AF(p)),0.25,8.54,8.78,AG(AF(p)),3,0.27,17.07,17.34,AG(AF(p)),3,30,30,1,10,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:030-sm:015.sp,60,AG(AF(p)),2.9,70.71,73.61,AG(AF(p)),3,2.79,144.13,146.92,AG(AF(p)),3,30,30,11,20,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:030-sm:025.sp,60,AG(AF(p)),9.72,200.99,210.71,AG(AF(p)),3,15.96,398.89,414.85,AG(AF(p)),3,30,30,21,30,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:030-sm:035.sp,60,AG(AF(p)),19.32,407.01,426.32,AG(AF(p)),3,34.72,824.9,859.62,AG(AF(p)),3,30,30,31,40,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:040-sm:005.sp,80,AG(AF(p)),0.34,15.09,15.43,AG(AF(p)),3,0.54,30.95,31.49,AG(AF(p)),3,40,40,1,10,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:040-sm:015.sp,80,AG(AF(p)),2.97,120.66,123.63,AG(AF(p)),3,6.72,246.56,253.28,AG(AF(p)),3,40,40,11,20,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:040-sm:025.sp,80,AG(AF(p)),11.73,350.91,362.63,AG(AF(p)),3,18.48,699.9,718.38,AG(AF(p)),3,40,40,21,30,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:040-sm:035.sp,80,AG(AF(p)),29.04,733.39,762.43,AG(AF(p)),3,50.27,1436.21,1486.48,AG(AF(p)),3,40,40,31,40,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:050-sm:005.sp,100,AG(AF(p)),0.45,24.33,24.78,AG(AF(p)),3,0.52,50.06,50.58,AG(AF(p)),3,50,50,1,10,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:050-sm:015.sp,100,AG(AF(p)),3.65,182.73,186.38,AG(AF(p)),3,6,375.46,381.46,AG(AF(p)),3,50,50,11,20,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:050-sm:025.sp,100,AG(AF(p)),12.44,525.36,537.8,AG(AF(p)),3,15.22,1069.11,1084.32,AG(AF(p)),3,50,50,21,30,TRUE
test_suite/mod_large_random/Kripke/f:01-nm:050-sm:035.sp,100,AG(AF(p)),28.5,1086.66,1115.16,AG(AF(p)),3,60.47,2220.26,2280.74,AG(AF(p)),3,50,50,31,40,TRUE
