Encoding Time,Learned Formula,Sample size,Solver,Total Time,Solving Time,Sample,Size Bound,Verification,Original Formula,Learned Formula Size
0,,200,z3,0,0,test_suite/random_4/Kripke/f:06-nw:100.sp,15,,(AG (EF q)),
0,,150,z3,0,0,test_suite/random_4/Kripke/f:03-nw:075.sp,15,,((AG (AF p)) & (AG (AF q))),
27.97,(AG (p | (AX q))),20,z3,35.01,7.04,test_suite/random_4/Kripke/f:04-nw:010.sp,15,True,(AG (p | (AX q))),5
0,,150,z3,0,0,test_suite/random_4/Kripke/f:04-nw:075.sp,15,,(AG (p | (AX q))),
0,,200,z3,0,0,test_suite/random_4/Kripke/f:01-nw:100.sp,15,,(AG (p | q)),
36.61,(AG (A((AF p) U q))),20,z3,76.71,40.1,test_suite/random_4/Kripke/f:03-nw:010.sp,15,True,((AG (AF p)) & (AG (AF q))),5
360.86,(AG (AF p)),100,z3,361.34,0.48,test_suite/random_4/Kripke/f:02-nw:050.sp,15,True,(AG (AF p)),3
1496.75,(AG (p -> (AF q))),100,z3,1588.31,91.56,test_suite/random_4/Kripke/f:05-nw:050.sp,15,True,(AG (p -> (AF q))),5
0,,200,z3,0,0,test_suite/random_4/Kripke/f:03-nw:100.sp,15,,((AG (AF p)) & (AG (AF q))),
878.22,(AG (EF q)),150,z3,878.91,0.69,test_suite/random_4/Kripke/f:06-nw:075.sp,15,True,(AG (EF q)),3
11.72,(AG (p | q)),20,z3,11.93,0.21,test_suite/random_4/Kripke/f:01-nw:010.sp,15,True,(AG (p | q)),4
1350.65,(AG (p | q)),150,z3,1364.19,13.54,test_suite/random_4/Kripke/f:01-nw:075.sp,15,True,(AG (p | q)),4
0,,200,z3,0,0,test_suite/random_4/Kripke/f:04-nw:100.sp,15,,(AG (p | (AX q))),
9.27,(AG (EF q)),20,z3,9.37,0.1,test_suite/random_4/Kripke/f:06-nw:010.sp,15,True,(AG (EF q)),3
66.05,(AG (AF p)),50,z3,66.36,0.31,test_suite/random_4/Kripke/f:02-nw:025.sp,15,True,(AG (AF p)),3
254.52,(AG (p -> (AF q))),50,z3,265.65,11.12,test_suite/random_4/Kripke/f:05-nw:025.sp,15,True,(AG (p -> (AF q))),5
324.86,(AG (EF q)),100,z3,325.31,0.44,test_suite/random_4/Kripke/f:06-nw:050.sp,15,True,(AG (EF q)),3
460.9,(AG (AF (q & (E(q U p))))),50,z3,714.54,253.64,test_suite/random_4/Kripke/f:03-nw:025.sp,15,True,((AG (AF p)) & (AG (AF q))),6
505.11,(AG (q | p)),100,z3,511.3,6.18,test_suite/random_4/Kripke/f:01-nw:050.sp,15,True,(AG (p | q)),4
177.07,(AG ((AX q) | p)),50,z3,202.3,25.23,test_suite/random_4/Kripke/f:04-nw:025.sp,15,True,(AG (p | (AX q))),5
0,,200,z3,0,0,test_suite/random_4/Kripke/f:02-nw:100.sp,15,,(AG (AF p)),
0,,200,z3,0,0,test_suite/random_4/Kripke/f:05-nw:100.sp,15,,(AG (p -> (AF q))),
0,,100,z3,0,0,test_suite/random_4/Kripke/f:03-nw:050.sp,15,,((AG (AF p)) & (AG (AF q))),
69.61,(AG (EF q)),50,z3,70.12,0.51,test_suite/random_4/Kripke/f:06-nw:025.sp,15,True,(AG (EF q)),3
897.86,(AG ((AX q) | p)),100,z3,942.12,44.25,test_suite/random_4/Kripke/f:04-nw:050.sp,15,True,(AG (p | (AX q))),5
116.04,(AG (p | q)),50,z3,119.23,3.19,test_suite/random_4/Kripke/f:01-nw:025.sp,15,True,(AG (p | q)),4
1003.55,(AG (AF p)),150,z3,1006.44,2.89,test_suite/random_4/Kripke/f:02-nw:075.sp,15,True,(AG (AF p)),3
25.1,(AG (p -> (AF q))),20,z3,33.79,8.69,test_suite/random_4/Kripke/f:05-nw:010.sp,15,True,(AG (p -> (AF q))),5
0,,150,z3,0,0,test_suite/random_4/Kripke/f:05-nw:075.sp,15,,(AG (p -> (AF q))),
11.11,(AG (AF p)),20,z3,11.3,0.19,test_suite/random_4/Kripke/f:02-nw:010.sp,15,True,(AG (AF p)),3
